Cell,COSMICnum,TCGALabel
BB30-HNC,753531,HNSC
BB49-HNC,753532,HNSC
BHY,753535,HNSC
BICR10,1290724,HNSC
BICR22,1240121,HNSC
BICR31,1290725,HNSC
BICR78,1240122,HNSC
Ca9-22,753538,HNSC
CAL-27,910916,HNSC
CAL-33,753541,HNSC
Detroit562,906837,HNSC
DOK,910936,HNSC
FADU,906863,HNSC
HN,907059,HNSC
HO-1-N-1,924111,HNSC
HO-1-u-1,753561,HNSC
HSC-2,753562,HNSC
HSC-3,907061,HNSC
HSC-4,907062,HNSC
JHU-011,1240161,HNSC
JHU-022,1240162,HNSC
KON,1298215,HNSC
KOSC-2,753570,HNSC
LB771-HNC,753583,HNSC
OSC-19,1298362,HNSC
OSC-20,1240196,HNSC
PCI-15A,1240204,HNSC
PCI-30,1298529,HNSC
PCI-38,1240205,HNSC
PCI-4B,1298531,HNSC
PCI-6A,1240206,HNSC
PE/CA-PJ15,1240207,HNSC
RPMI-2650,909700,HNSC
SAS,909708,HNSC
SAT,1299050,HNSC
SCC-15,910911,HNSC
SCC-25,910701,HNSC
SCC-4,910904,HNSC
SCC-9,909709,HNSC
SKN-3,1299059,HNSC
COLO-680N,906817,ESCA
EC-GI-10,753555,ESCA
ESO26,1503366,ESCA
ESO51,1503367,ESCA
FLO-1,1503361,ESCA
HCE-4,753559,ESCA
KYAE-1,1503368,ESCA
KYSE-140,753573,ESCA
KYSE-150,907317,ESCA
KYSE-180,907318,ESCA
KYSE-220,1240167,ESCA
KYSE-270,907319,ESCA
KYSE-410,753574,ESCA
KYSE-450,907320,ESCA
KYSE-50,1298222,ESCA
KYSE-510,907321,ESCA
KYSE-520,753575,ESCA
KYSE-70,753576,ESCA
OACM5-1,1503363,ESCA
OACp4C,1503362,ESCA
OE19,910079,ESCA
OE21,1298359,ESCA
OE33,910549,ESCA
SK-GT-4,1503365,ESCA
TE-1,753621,ESCA
TE-10,753622,ESCA
TE-11,946354,ESCA
TE-12,946356,ESCA
TE-15,753614,ESCA
TE-4,1503371,ESCA
TE-5,735784,ESCA
TE-6,946355,ESCA
TE-8,753623,ESCA
TE-9,946353,ESCA
T-T,1299064,ESCA
CESS,910688,LAML
CTV-1,753548,LAML
GDM-1,906870,LAML
HEL,907053,LAML
HL-60,905938,LAML
KASUMI-1,907275,LAML
KG-1,907278,LAML
KMOE-2,907280,LAML
ME-1,1330942,LAML
ML-2,908141,LAML
MOLM-13,1330947,LAML
MONO-MAC-6,908148,LAML
NKM-1,908448,LAML
NOMO-1,908451,LAML
OCI-AML2,910947,LAML
OCI-AML3,1290455,LAML
OCI-AML5,1330983,LAML
OCI-M1,1330985,LAML
P31-FUJ,909253,LAML
PL-21,1330991,LAML
QIMR-WIL,910545,LAML
SIG-M5,909715,LAML
THP-1,909771,LAML
A3-KAW,910935,DLBC
A4-Fuk,910934,DLBC
BC-1,910919,DLBC
CRO-AP2,906807,DLBC
CTB-1,949088,DLBC
DB,906832,DLBC
DOHH-2,906842,DLBC
Farage,1297449,DLBC
GRANTA-519,1303897,DLBC
JEKO-1,1327765,DLBC
JSC-1,1327769,DLBC
KARPAS-1106P,1327773,DLBC
KARPAS-422,907274,DLBC
MC116,907799,DLBC
NU-DUL-1,1330982,DLBC
OCI-LY-19,1330984,DLBC
RC-K8,1330995,DLBC
RL,910861,DLBC
SCC-3,910930,DLBC
SLVL,1331032,DLBC
SU-DHL-10,1331033,DLBC
SU-DHL-16,1331034,DLBC
SU-DHL-4,1331035,DLBC
SU-DHL-5,1331036,DLBC
SU-DHL-6,1331037,DLBC
SU-DHL-8,1331038,DLBC
TK,1331045,DLBC
TUR,909773,DLBC
VAL,1331048,DLBC
WSU-DLCL2,1331050,DLBC
BV-173,910710,LCML
CML-T1,910951,LCML
EM-2,906855,LCML
JURL-MK1,1327771,LCML
K-562,905940,LCML
KCL-22,1330931,LCML
KU812,907311,LCML
LAMA-84,907783,LCML
MEG-01,908126,LCML
RPMI-8866,910544,LCML
AMO-1,1295741,MM
JJN-3,1327766,MM
KARPAS-620,1327775,MM
MC-CAR,683665,MM
KY821,907300,LAML
RS4-11,909703,ALL
ALL-PO,910944,ALL
BE-13,906763,ALL
CCRF-CEM,905952,ALL
GR-ST,906877,ALL
HAL-01,949153,ALL
KARPAS-45,907272,ALL
KE-37,907277,ALL
LC4-1,907787,ALL
MOLT-4,905958,ALL
P30-OHK,909252,ALL
SUP-B15,1247871,ALL
ATN-1,910687,ALL
LOUCY,907789,ALL
MOLT-13,908146,ALL
MOLT-16,908147,ALL
P12-ICHIKAWA,909251,ALL
PF-382,909260,ALL
RPMI-8402,909702,ALL
SUP-T1,909743,ALL
EHEB,906854,CLL
EJM,1297447,MM
JVM-2,907269,CLL
JVM-3,907270,CLL
YT,946358,ALL
ARH-77,906765,MM
IM-9,753563,MM
KMS-12-BM,907281,MM
L-363,924239,MM
LP-1,907791,MM
MM1S,1659818,MM
MOLP-8,1330950,MM
NCI-H929,724825,MM
OPM-2,909249,MM
RPMI-8226,905964,MM
SK-MM-2,753612,MM
U-266,753615,MM
ALL-SIL,1295740,ALL
DND-41,1297446,ALL
Jurkat,998184,ALL
AU565,910704,BRCA
BT-20,906801,BRCA
BT-474,946359,BRCA
BT-483,949093,BRCA
BT-549,905951,BRCA
CAL-120,906826,BRCA
CAL-148,924106,BRCA
CAL-51,910927,BRCA
CAL-85-1,910852,BRCA
CAMA-1,946382,BRCA
COLO-824,906812,BRCA
DU-4475,906844,BRCA
EFM-19,906851,BRCA
EFM-192A,1290798,BRCA
EVSA-T,906862,BRCA
HCC1143,749710,BRCA
HCC1187,749711,BRCA
HCC1395,749712,BRCA
HCC1419,907045,BRCA
HCC1428,1290905,BRCA
HCC1500,1303900,BRCA
HCC1569,907046,BRCA
HCC1599,749713,BRCA
HCC1937,749714,BRCA
HCC1954,749709,BRCA
HCC202,1290906,BRCA
HCC2157,749715,BRCA
HCC2218,749716,BRCA
HCC38,749717,BRCA
HCC70,907048,BRCA
HDQ-P1,1290922,BRCA
Hs-578-T,905957,BRCA
MCF7,905946,BRCA
MDA-MB-157,925338,BRCA
MDA-MB-231,905960,BRCA
MDA-MB-330,1330941,BRCA
MDA-MB-361,908121,BRCA
MDA-MB-415,924240,BRCA
MDA-MB-436,1240172,BRCA
MDA-MB-453,908122,BRCA
MDA-MB-468,908123,BRCA
MFM-223,910948,BRCA
MRK-nu-1,908151,BRCA
OCUB-M,909256,BRCA
T47D,905945,BRCA
UACC-812,910910,BRCA
UACC-893,909778,BRCA
ZR-75-30,909907,BRCA
C2BBe1,910700,COAD/READ
CaR-1,924108,COAD/READ
CCK-81,1240123,COAD/READ
CL-11,1290769,COAD/READ
CL-40,1240124,COAD/READ
COLO-205,905961,COAD/READ
COLO-320-HSR,910569,COAD/READ
COLO-678,910689,COAD/READ
CW-2,910554,COAD/READ
GP5d,907291,COAD/READ
HCC2998,905971,COAD/READ
HCC-56,1290907,COAD/READ
HCT-116,905936,COAD/READ
HCT-15,905937,COAD/READ
HT-115,907289,COAD/READ
HT-29,905939,COAD/READ
HT55,907287,COAD/READ
KM12,905989,COAD/READ
LoVo,907790,COAD/READ
LS-1034,917486,COAD/READ
LS-123,907792,COAD/READ
LS-180,998189,COAD/READ
LS-411N,907794,COAD/READ
LS-513,907795,COAD/READ
MDST8,1240173,COAD/READ
NCI-H630,908482,COAD/READ
NCI-H716,908458,COAD/READ
NCI-H747,908457,COAD/READ
RCM-1,909263,COAD/READ
RKO,909698,COAD/READ
SK-CO-1,909718,COAD/READ
SNU-1040,1659823,COAD/READ
SNU-175,1659928,COAD/READ
SNU-407,1660034,COAD/READ
SNU-61,1660035,COAD/READ
SNU-81,1660036,COAD/READ
SNU-C1,910905,COAD/READ
SNU-C2B,909740,COAD/READ
SNU-C5,1674021,COAD/READ
SW1116,909746,COAD/READ
SW1417,909747,COAD/READ
SW1463,909748,COAD/READ
SW48,909751,COAD/READ
SW837,909755,COAD/READ
SW948,909757,COAD/READ
T84,909761,COAD/READ
C3A,910850,LIHC
Hep 3B2_1-7,1240147,LIHC
HLE,907057,LIHC
huH-1,1298146,LIHC
HuH-7,907071,LIHC
JHH-1,1298151,LIHC
JHH-6,1240159,LIHC
JHH-7,1240160,LIHC
SK-HEP-1,909719,LIHC
SNU-182,1240216,LIHC
SNU-387,909736,LIHC
SNU-398,1240217,LIHC
SNU-423,909737,LIHC
SNU-449,909738,LIHC
SNU-475,909739,LIHC
